POLICY_ID,SUBSCRIPTION_LENGTH,REGION_CODE,SEGMENT
POL006048,10.5,C8,B2
POL035236,1.1,C13,A
POL000477,11.8,C8,B2
POL016332,9,C8,C1
POL045373,0,C9,A
POL029495,4.2,C8,B2
POL036386,2.3,C8,B2
POL024938,10.4,C3,B2
POL013820,10.6,C8,C1
POL039976,7.2,C8,A
POL042055,0.6,C9,A
POL056487,11.6,C8,C2
POL015793,7.5,C10,C2
POL045869,2.5,C13,A
POL001869,3.9,C10,C1
POL036067,4.3,C16,A
POL054911,1.1,C5,B1
POL040878,11.1,C14,C2
POL032506,0.6,C17,A
POL009738,8.8,C2,A
POL004674,11.9,C19,C2
POL031994,1.1,C16,B2
POL057589,2.8,C11,A
POL043165,8,C8,A
POL002855,1.7,C10,B2
POL001539,0.9,C10,B2
POL024513,11.1,C3,A
POL040238,11,C8,B2
POL017778,1,C1,C2
POL018801,1,C7,C1
POL013243,0.6,C5,A
POL012904,5.4,C10,B2
POL020322,5.6,C3,A
POL032213,4.9,C9,A
POL030520,5.5,C13,C2
POL024110,2.4,C1,B1
POL015662,11.3,C8,C2
POL018364,10.9,C9,B2
POL003030,4.3,C8,C2
POL008718,4.6,C13,B2
POL048696,11.2,C8,B2
POL019303,1.2,C5,A
POL018031,8.5,C15,A
POL031953,0.4,C2,A
POL011419,4.1,C3,A
POL013103,11.4,C12,C2
POL026606,0.9,C10,B2
POL029184,0.3,C17,A
POL037878,4,C5,Utility
POL025943,0.2,C5,B2
POL046072,0.7,C9,A
POL054226,3.8,C8,A
POL038785,11.1,C8,B2
POL002821,0.9,C10,C2
POL054540,10.3,C19,B2
POL009427,0.9,C10,A
POL014075,11.3,C8,B2
POL047290,5.8,C2,A
POL040481,3.7,C5,A
POL005599,9.8,C14,C2
POL024133,0.9,C5,C2
POL056939,9.9,C2,A
POL011216,0.8,C8,C2
POL013825,10.5,C8,B1
POL033808,10.1,C8,C2
POL036442,0.1,C16,A
POL032611,5,C3,C2
POL054290,11.6,C10,C2
POL022489,10.8,C8,B1
POL006603,3.6,C11,B2
POL002901,12.1,C2,B2
POL034079,3.6,C2,B2
POL056493,11.7,C8,A
POL025352,12.3,C14,C1
POL024300,10.3,C8,C2
POL007639,11.7,C8,C1
POL047529,4.3,C14,B2
POL002932,0.8,C3,A
POL021428,5.1,C13,B1
POL001460,10.8,C12,B2
POL028855,11.6,C5,C2
POL008463,8.4,C5,A
POL038006,0.2,C9,A
POL032235,0.1,C5,A
POL011589,11,C2,C2
POL011765,3.6,C2,C1
POL048446,3.5,C12,C2
POL003297,12.2,C14,B2
POL002203,2.8,C10,A
POL037953,8.2,C7,B1
POL015252,11.8,C8,B2
POL030741,12.4,C8,C2
POL015424,1.6,C6,A
POL003285,12.3,C8,B2
POL005150,6,C8,C2
POL028493,6.6,C4,A
POL011379,11.5,C11,C2
POL007969,1,C8,B2
POL022649,0.7,C2,A
POL032754,5.5,C5,B2
POL006515,1.2,C4,A
POL032018,11.9,C13,B2
POL028549,5,C8,C2
POL056219,7.3,C2,B1
POL019982,6.1,C7,B2
POL028394,11.4,C8,C1
POL034714,0.9,C7,B1
POL016123,0.1,C3,A
POL021868,10.2,C10,B2
POL016690,10.7,C8,B2
POL004288,7.2,C2,B2
POL039132,12.4,C13,B1
POL004304,2.7,C8,B2
POL048996,6.6,C14,C2
POL020680,11.5,C8,C1
POL054294,0.6,C2,A
POL041358,0.9,C9,A
POL027963,12.5,C8,B2
POL029958,10.9,C2,A
POL019429,11.9,C8,C2
POL010464,1.6,C9,C1
POL017389,4.2,C14,A
POL053062,10.2,C2,B1
POL007408,4.1,C8,B2
POL038325,6.7,C2,B2
POL001121,12.3,C2,B2
POL007209,3.2,C3,B2
POL020413,11.2,C13,B2
POL053088,1.1,C2,B2
POL056873,0.5,C8,B2
POL023436,10.8,C11,C2
POL046841,1,C10,B2
POL002343,1.5,C3,A
POL019038,10.8,C14,C1
POL047157,8.5,C5,A
POL029702,0.1,C3,A
POL002794,5.7,C5,C2
POL004476,6.2,C4,B1
POL038175,11.7,C2,C2
POL032666,4.7,C8,B2
POL002020,1.9,C9,B2
POL021890,0.7,C2,B2
POL026281,11,C9,B2
POL024331,1,C1,B2
POL024527,7.3,C8,C2
POL012625,10,C8,B2
POL051747,4.4,C9,B2
POL019627,1.6,C8,B2
POL057898,4.3,C19,C2
POL002289,10.5,C8,B2
POL002212,0.3,C16,B1
POL022371,4.7,C5,B2
POL049249,0.8,C3,A
POL045822,0.3,C6,B2
POL048118,0.9,C8,B2
POL039893,1,C2,C1
POL057514,3.4,C13,B2
POL055434,5,C5,C2
POL032711,6.9,C16,B2
POL026768,10.8,C8,B2
POL007366,12.3,C13,C2
POL032167,10.8,C12,C2
POL019104,11.1,C8,B2
POL053335,5.5,C2,B2
POL001101,10.5,C8,C2
POL052501,10.9,C2,A
POL039058,0.2,C4,C1
POL054456,11.3,C8,B2
POL044590,0.9,C13,B2
POL057337,11.8,C8,B2
POL023830,1.8,C8,B2
POL017415,1.4,C14,A
POL015692,1,C3,C2
POL027566,5.2,C8,B2
POL055104,11.4,C8,C2
POL012187,7.9,C17,A
POL033081,12.4,C13,C2
POL015905,10.6,C8,B2
POL052740,0.9,C5,C2
POL036613,11,C6,B2
POL027488,11.2,C9,B1
POL036215,0.7,C5,B2
POL052930,2.5,C13,B2
POL025876,11.7,C14,B2
POL019885,6.5,C3,B2
POL026547,0.9,C9,C2
POL052773,10.9,C8,B2
POL002474,3.7,C6,A
POL001873,5.2,C8,A
POL029111,0.9,C3,C2
POL021827,2.5,C8,B2
POL026255,10.2,C8,C2
POL002151,5.3,C3,A
POL015151,6.7,C3,B1
POL001276,11.6,C11,C1
POL015655,10.4,C22,A
POL020920,11.2,C3,C2
POL000339,0.5,C17,A
POL029617,9.2,C14,B1
POL035488,10.9,C14,B2
POL040527,9,C5,A
POL049912,7.3,C8,C2
POL057733,6.6,C8,C2
POL018991,11.2,C11,C2
POL044921,1.2,C2,A
POL015045,5.4,C13,C1
POL004231,4,C3,B2
POL005607,11,C10,A
POL040552,1.4,C5,A
POL034710,5,C5,C1
POL037173,5.6,C1,A
POL003816,11.8,C14,B2
POL046466,6.5,C5,A
POL007932,1.9,C12,A
POL014772,8.4,C10,B2
POL026739,11.5,C2,C1
POL032937,0.4,C2,B2
POL007671,8.8,C3,A
POL033031,5.6,C5,C1
POL028510,11.1,C2,A
POL020045,3.9,C8,B2
POL052064,1.1,C2,B2
POL015205,0.8,C3,B2
POL048045,10.6,C2,C2
POL028942,7.3,C5,B2
POL029757,0.1,C3,C2
POL048202,9.5,C2,C2
POL018262,5.5,C12,B2
POL000798,11.7,C19,B2
POL052933,0.7,C2,B2
POL011561,11.4,C8,B2
POL043239,11.8,C2,A
POL025188,3.9,C3,A
POL056922,0.7,C14,A
POL014692,0.9,C9,B2
POL034294,2.9,C12,B2
POL010798,3,C2,B2
POL036134,3.7,C9,B2
POL019921,7.1,C8,B2
POL015430,5.9,C8,A
POL018769,0.2,C9,C2
POL041350,5.1,C1,A
POL007391,11.2,C13,A
POL048764,3.9,C4,C2
POL027425,11.7,C9,C1
POL041359,3.2,C3,A
POL025158,5.6,C20,B2
POL009915,1,C8,B2
POL054668,7.1,C6,B2
POL005372,10.2,C19,C1
POL025467,0.9,C3,C2
POL030778,11.5,C8,B2
POL023208,12.3,C13,B1
POL050592,8.6,C5,C1
POL006032,5.2,C10,A
POL015916,2.5,C8,B1
POL007415,11.4,C14,C2
POL009439,0.8,C1,B2
POL033880,2.9,C8,C2
POL012251,10.5,C5,B2
POL029749,1,C5,B2
POL038358,4.1,C8,B2
POL026061,4,C2,B2
POL055658,10.3,C8,C2
POL011428,2.5,C10,C1
POL026428,11,C13,C1
POL010855,7.6,C14,B2
POL007496,0.9,C15,B1
POL009836,6.7,C8,B2
POL014162,4.9,C9,Utility
POL050502,10.2,C14,B2
POL001083,7.6,C8,C1
POL034536,11.8,C3,C2
POL052948,10.6,C8,B2
POL009053,6.2,C8,B2
POL042946,0.9,C2,B2
POL018629,12.1,C13,C2
POL045974,10.7,C14,B2
POL048303,10.2,C14,C2
POL031225,6.9,C13,A
POL047533,10.6,C2,A
POL052004,0,C2,B2
POL029520,10.8,C2,B2
POL057777,11.7,C5,C2
POL011667,3.8,C13,C2
POL001923,2,C8,B2
POL057395,10.6,C8,Utility
POL039787,7.6,C4,A
POL050816,2.9,C10,B2
POL031409,10.8,C14,B2
POL055479,10.3,C8,C2
POL036502,11.7,C8,B2
POL011776,2.4,C14,B1
POL035303,10.1,C5,Utility
POL044687,10.4,C4,B2
POL013845,10.4,C8,B1
POL004586,5.3,C5,A
POL042412,9.8,C3,C2
POL007072,9.6,C8,B2
POL053703,0.1,C2,A
POL026527,0.8,C8,C2
POL042899,4.3,C14,B2
POL027738,5.2,C13,A
POL045938,2.2,C8,A
POL026641,0.4,C11,B2
POL014093,7.1,C2,A
POL028566,10.5,C14,B1
POL040606,0.2,C2,B2
POL027180,11.8,C13,C1
POL036693,0.5,C2,A
POL023459,1.5,C8,A
POL022944,9.1,C3,B2
POL031058,0.4,C16,A
POL037482,6.4,C10,A
POL048041,0.5,C2,A
POL002637,11.4,C13,B2
POL015313,6,C3,C2
POL049492,3,C12,C2
POL050944,12.3,C19,B2
POL000416,11.7,C5,B2
POL054108,10.4,C8,C2
POL021650,6.6,C13,B1
POL040442,11.9,C19,B2
POL016426,11.1,C13,C2
POL010514,2,C8,C2
POL011347,10.9,C10,C2
POL049913,12.2,C2,B2
POL012006,3.2,C8,B2
POL006758,1.4,C10,A
POL032662,4.6,C3,C2
POL051957,12,C14,B1
POL031159,2.8,C19,C2
POL021774,1.3,C4,B2
POL019851,0.9,C13,C1
POL006260,1.1,C10,A
POL000250,5.1,C3,C1
POL010761,3,C7,A
POL025952,4.2,C10,C1
POL003229,1,C3,A
POL011159,3.6,C8,B2
POL045511,11.2,C14,B2
POL006055,9.6,C3,A
POL036262,3.9,C8,C2
POL046862,6.3,C3,A
POL039260,3.1,C3,A
POL000209,12.3,C19,C1
POL001330,5.4,C1,A
POL030695,3.5,C8,B2
POL026055,6.3,C13,C2
POL012912,12,C13,C2
POL000665,9.6,C13,C2
POL000104,7.8,C14,Utility
POL051459,1.6,C6,B2
POL048671,10.1,C2,C2
POL021437,11.7,C8,B2
POL000819,3.5,C10,A
POL025557,1.2,C2,A
POL037448,4.3,C3,A
POL017706,10.1,C8,B2
POL043364,0.2,C18,B1
POL039279,10,C9,B2
POL023721,0.3,C2,B2
POL017230,10.2,C13,B2
POL013262,10.8,C8,B2
POL010412,0.1,C8,B2
POL009151,0.8,C5,C1
POL052891,10.5,C9,B1
POL042355,2.9,C14,C1
POL051997,3.8,C5,C2
POL030431,5.3,C3,B1
POL050747,7.1,C14,B2
POL006636,8.5,C12,Utility
POL024860,6.4,C21,B2
POL044470,11.4,C5,B1
POL044371,10.2,C2,B2
POL054649,10.5,C11,C2
POL048417,2.1,C3,A
POL051718,0.8,C7,C1
POL010898,0.8,C10,C2
POL028542,3.3,C18,C2
POL003097,2.2,C17,A
POL007449,10.2,C8,B2
POL016233,2.8,C13,B2
POL009636,2.8,C15,C1
POL027404,10.4,C7,B1
POL035406,10.9,C8,C2
POL026264,11.6,C8,C2
POL056333,2.1,C8,B2
POL023886,10.8,C8,B2
POL025242,11.1,C2,B2
POL036590,1.7,C5,C1
POL032713,7.2,C16,B2
POL001317,10.5,C19,B2
POL047131,12.2,C8,C1
POL041217,11.7,C14,A
POL028364,10.4,C2,B1
POL011904,0.5,C2,A
POL035633,8.3,C8,B2
POL037140,1.5,C3,A
POL046962,2.9,C10,A
POL015970,10.8,C7,C1
POL004519,6.6,C10,A
POL003990,2.2,C14,A
POL056521,10.7,C8,C2
POL037600,0.9,C5,C2
POL034191,3.1,C4,A
POL007082,9.6,C15,A
POL020515,5.5,C14,A
POL020127,10.6,C8,C2
POL044003,0.8,C10,B2
POL025439,10.5,C8,Utility
POL042335,9,C3,A
POL026589,0.7,C8,Utility
POL002152,3.8,C3,A
POL010287,11.6,C9,B2
POL012503,6,C8,B2
POL034345,10.1,C13,C2
POL031217,10.1,C5,C2
POL058012,6.9,C3,A
POL057439,8.9,C2,A
POL050577,0.4,C2,C2
POL014126,6,C11,C2
POL016699,11.7,C3,B2
POL010026,3,C3,C2
POL045168,5.3,C2,A
POL002427,8.5,C16,A
POL054362,5.3,C2,A
POL033645,6.1,C8,B2
POL040334,3.4,C13,B2
POL046956,8.7,C8,C2
POL047284,11,C13,C2
POL005170,6.6,C14,A
POL001468,12.3,C8,C2
POL044999,2.8,C5,C2
POL015181,2,C14,B1
POL015506,9.4,C5,A
POL004783,11.8,C9,C2
POL030890,11.7,C14,B2
POL043253,0.9,C14,A
POL005864,9.3,C13,B2
POL007681,9.9,C8,C2
POL056908,1,C7,B1
POL003650,10.4,C2,B2
POL011387,0.8,C15,B2
POL055680,12.1,C13,C1
POL025205,0.1,C20,B1
POL042292,2,C5,A
POL040222,6.7,C8,B2
POL023213,5.9,C5,C2
POL041823,11.1,C3,B2
POL056147,1.3,C10,A
POL043744,2.8,C5,B2
POL009653,10.9,C10,B2
POL040187,0.8,C3,A
POL030214,2.8,C3,A
POL057476,0.8,C10,B2
POL025740,2.9,C5,A
POL046888,6,C5,B2
POL041409,12,C3,B2
POL054244,10.7,C12,C2
POL055703,5.1,C2,A
POL049927,1.5,C3,A
POL024939,12,C3,A
POL042944,0.9,C5,A
POL029843,0.5,C8,B1
POL009817,2.6,C3,A
POL015797,10.6,C14,B2
POL034086,0.9,C2,A
POL017167,12.1,C8,B2
POL035989,10.5,C12,B2
POL021877,11.7,C2,C1
POL008529,1.1,C1,A
POL011753,11.3,C8,B2
POL025105,10.3,C21,A
POL006759,2.2,C8,B2
POL021520,3.9,C19,C2
POL015841,3.3,C2,C1
POL017278,11.7,C8,B1
POL045417,1,C3,A
POL008780,10.1,C14,A
POL032303,0.9,C5,C2
POL013652,5.2,C8,B2
POL018083,2.9,C5,C1
POL024769,11.5,C2,A
POL022773,3.7,C7,A
POL023655,0.9,C13,C2
POL020465,4.9,C8,C2
POL006780,0.4,C3,A
POL025183,11.5,C14,B2
POL035858,0.5,C3,B2
POL035217,11.7,C11,B1
POL005481,3.9,C3,C2
POL000465,1.7,C20,C2
POL003099,0.7,C13,A
POL002923,10,C13,B2
POL045208,5.4,C5,A
POL047186,12,C19,B2
POL043209,7,C8,B2
POL015334,1.2,C2,B2
POL021625,0.9,C3,Utility
POL015410,4.8,C5,B2
POL034638,8.3,C15,A
POL013351,5.2,C8,B2
POL019396,0.9,C5,B2
POL002232,10.6,C14,C2
POL035429,0,C1,A
POL007206,4.9,C3,A
POL002226,8.4,C2,C2
POL010864,6.1,C15,B2
POL014864,11,C13,C2
POL021158,0.1,C10,A
POL037094,11.9,C2,C2
POL035985,3.9,C2,A
POL026934,10.6,C7,B2
POL027949,5.5,C8,C2
POL027296,10.9,C8,B2
POL052152,4.7,C14,C2
POL015982,2.8,C13,B1
POL000637,1.4,C3,C1
POL049810,3.1,C8,A
POL049179,4.1,C13,A
POL033271,11.7,C9,B2
POL048889,8.2,C8,C2
POL029752,12.3,C3,B2
POL026430,10.3,C2,C2
POL053425,11.3,C8,C2
POL006784,4.3,C2,C2
POL031066,6.9,C14,B2
POL027289,12,C12,C2
POL052534,6.7,C17,A
POL030525,0.3,C3,A
POL033817,3.7,C5,C1
POL041078,5.6,C3,A
POL035445,6.9,C6,B2
POL042865,2.9,C13,C2
POL049964,10,C8,C2
POL013462,0.4,C3,Utility
POL025744,11.7,C11,B2
POL031377,0.7,C3,C2
POL021642,11.5,C6,B2
POL029067,3.7,C3,A
POL055248,3.1,C8,A
POL056627,5.2,C9,C1
POL025580,10.8,C14,B2
POL018990,11.4,C8,C2
POL042004,0.7,C7,B2
POL055460,10.7,C8,B2
POL023011,0.2,C8,B2
POL031871,10.8,C11,B2
POL048337,4.9,C8,Utility
POL004334,12.4,C21,C2
POL025631,0.7,C9,A
POL056209,0,C20,A
POL016212,10.4,C8,B2
POL032617,2.3,C8,B2
POL035681,3.2,C3,A
POL058045,0.4,C8,Utility
POL054102,1.4,C9,A
POL056672,8.2,C3,A
POL033803,2.5,C2,B2
POL002765,3.4,C3,A
POL043372,1.3,C8,B2
POL020553,2.5,C5,A
POL053536,1.9,C1,B2
POL022751,10.4,C8,C2
POL041948,11.9,C8,B1
POL015863,5.2,C14,B2
POL042009,10,C8,C1
POL046753,12.3,C3,B2
POL031528,11.5,C3,C2
POL035379,7.7,C14,B2
POL040288,0.4,C8,B1
POL025414,4.3,C8,C2
POL008084,2.6,C7,B2
POL016421,2.5,C14,A
POL025429,10.6,C8,C2
POL020693,10.6,C14,B2
POL042842,0,C8,B2
POL050458,12.4,C12,B2
POL006067,5.1,C11,B2
POL029230,2.4,C8,C2
POL015527,6.5,C4,C1
POL036676,6.9,C8,B2
POL047261,0.4,C5,A
POL043319,7.9,C5,C2
POL020415,12.4,C14,B2
POL033702,4.3,C2,A
POL033004,0.8,C8,B2
POL040924,5.3,C21,B2
POL043856,11.6,C19,C2
POL033568,11.7,C3,C2
POL010952,10.5,C2,B2
POL025178,11.1,C8,C2
POL025004,8.3,C8,B2
POL000061,10.7,C9,C2
POL051627,2.2,C14,B2
POL045222,9.6,C8,C2
POL004016,0.9,C3,A
POL056198,1.6,C8,B2
POL051819,1.2,C8,C2
POL053406,2.7,C5,A
POL027606,12.1,C11,B2
POL019630,5.1,C5,B2
POL004097,7.1,C2,C1
POL006777,0.8,C10,C2
POL056372,4.6,C9,A
POL034798,7.9,C8,B2
POL019764,11.2,C8,C2
POL002684,11.1,C2,B1
POL051304,5.6,C13,C2
POL026382,0.9,C10,A
POL005902,10.3,C3,A
POL010085,11.7,C9,B2
POL004380,0.3,C5,B2
POL022501,5.3,C2,A
POL045925,3.4,C10,A
POL022983,11.3,C10,Utility
POL013514,10.4,C8,B2
POL000959,10.5,C8,C2
POL033407,4.3,C8,C2
POL057784,1.1,C10,A
POL044674,0.5,C2,C1
POL044067,10.8,C8,C2
POL033044,3.8,C5,B2
POL032122,12.5,C13,B2
POL031121,8.1,C6,C2
POL002274,3,C2,B2
POL002190,6.7,C3,C1
POL041279,10,C1,B1
POL037119,10.2,C3,C2
POL007835,11.8,C8,A
POL012180,11,C13,B2
POL040265,11.5,C8,C1
POL049871,10.8,C8,B2
POL008948,4.1,C8,B2
POL045850,1.3,C5,A
POL009437,5.8,C14,C1
POL021888,1.4,C3,A
POL029963,7.3,C8,B1
POL025641,3.2,C1,A
POL026421,8.6,C3,A
POL022736,4.9,C17,B2
POL057322,10.4,C1,C2
POL030319,5.9,C3,A
POL028710,6.3,C8,C2
POL012420,3.8,C12,B2
POL017687,10.6,C6,A
POL005288,6.9,C5,C2
POL022207,12.4,C8,C2
POL048885,0.9,C10,B2
POL006448,4.3,C17,A
POL001930,0.4,C5,A
POL025530,8,C14,C2
POL057422,10.1,C7,C1
POL018340,1,C2,B2
POL029233,0.8,C1,B2
POL055634,1,C15,A
POL045007,4.5,C8,C2
POL024684,12.1,C2,C1
POL019862,9.6,C8,C2
POL025716,8.8,C2,A
POL009508,9.4,C7,A
POL055808,4.2,C5,B1
POL049278,2.2,C7,A
POL011224,0.2,C13,A
POL007103,10,C3,A
POL017407,3,C3,B1
POL013501,11.4,C9,B2
POL050467,9.1,C2,A
POL058394,1.8,C14,C2
POL013654,5.3,C5,B2
POL036553,6.7,C1,A
POL046345,10.1,C11,C2
POL030728,0.9,C8,B1
POL051494,8,C8,B2
POL053553,1.3,C2,A
POL007015,3.3,C14,B1
POL037075,10.7,C3,C2
POL035697,11.8,C14,C2
POL018437,4.9,C14,B2
POL007100,12.3,C14,B2
POL048299,11.2,C10,B2
POL056689,11,C3,B2
POL036003,10.8,C2,C1
POL043030,0.8,C15,C2
POL037845,11.8,C12,B2
POL046928,1.7,C3,A
POL031905,11.5,C8,A
POL030486,10.3,C12,C2
POL029589,7.8,C4,A
POL013545,2.8,C1,A
POL050702,12.1,C10,C1
POL012501,1.4,C5,C1
POL033784,10.4,C3,C2
POL036184,8.4,C2,C1
POL009469,3.2,C17,A
POL049410,5.6,C2,A
POL017893,0.8,C7,C2
POL007382,8.5,C8,C2
POL025843,0.8,C1,C2
POL057861,11.1,C5,A
POL035317,1,C8,A
POL015225,12.5,C8,B2
POL048577,2.5,C2,B2
POL028689,0.1,C5,A
POL048693,5.3,C5,B2
POL007799,10.5,C5,A
POL050434,0.9,C1,B2
POL046849,9.1,C14,B2
POL029112,3.5,C12,A
POL053079,8.2,C3,A
POL016647,5.6,C9,A
POL049748,12.1,C2,C2
POL017216,9.2,C3,B2
POL053579,10,C3,B2
POL021770,2.5,C6,C2
POL017394,11.4,C8,B2
POL036561,2.1,C5,A
POL011792,11.9,C13,C2
POL010910,10.4,C15,B2
POL036936,10.2,C14,B2
POL024492,3.8,C11,B2
POL046677,10.1,C7,B1
POL057031,1.1,C5,A
POL054768,11.1,C5,A
POL050838,2.1,C2,C2
POL043251,5,C4,C2
POL030832,4.6,C14,C2
POL036760,10.1,C8,C1
POL005048,12.4,C11,B2
POL015234,7,C1,A
POL036483,1.4,C4,A
POL019196,2.5,C2,C2
POL053613,7.6,C19,A
POL039009,0.2,C10,C1
POL015355,12.5,C2,C2
POL030586,10.5,C21,C2
POL048190,3.2,C11,A
POL057254,0.9,C7,C2
POL038568,11.4,C5,A
POL043826,10.5,C14,A
POL005287,0.3,C1,A
POL022464,11.7,C8,A
POL016181,12.1,C13,C2
POL017685,2,C14,A
POL025383,2.7,C5,B2
POL046322,11.7,C8,C2
POL008939,4.8,C15,A
POL027419,8.5,C8,C2
POL048414,11.4,C2,C2
POL029047,7.3,C8,C2
POL009809,10.7,C5,B1
POL031055,11.7,C8,B2
POL055454,1,C5,A
POL007168,7.7,C14,B2
POL053163,12.1,C13,C2
POL009091,11.1,C8,B2
POL034402,0,C8,B2
POL026908,11.2,C8,C2
POL054197,6.8,C9,B2
POL014399,11.6,C5,A
POL054214,9,C14,C1
POL007713,11.4,C5,A
POL008208,1,C5,B1
POL043046,7.8,C5,B2
POL014103,1,C10,C2
POL021141,5.6,C8,B2
POL052916,8.5,C9,C2
POL033703,1.3,C3,C2
POL010216,9.1,C2,B2
POL029141,11.7,C13,C2
POL026847,2.9,C16,A
POL003662,11.8,C2,A
POL040871,1.2,C8,C2
POL030717,10.1,C8,B2
POL024968,8.6,C2,A
POL012743,12.1,C14,B1
POL051595,12.4,C14,B2
POL050133,1.8,C3,C2
POL049851,0.8,C10,B2
POL051204,4.9,C3,C2
POL004998,11.8,C13,Utility
POL023496,10.2,C5,C2
POL048569,1.9,C8,B2
POL043456,8.6,C8,B2
POL044561,6.6,C5,A
POL048186,3.3,C8,B2
POL017665,12.2,C8,B1
POL025626,0.8,C20,C2
POL057805,10.4,C2,C2
POL018640,11.1,C8,B2
POL016640,8.6,C2,B2
POL012192,0.9,C2,B2
POL033661,1.9,C10,C1
POL054764,0.3,C3,C2
POL058159,6.1,C17,A
POL017366,0.4,C2,C2
POL016825,5.7,C2,C2
POL021268,11.7,C8,C1
POL056134,1.1,C9,B2
POL005763,2.8,C21,A
POL050621,10.6,C8,C2
POL033678,11.4,C8,C1
POL007289,12.2,C13,B1
POL031472,0.9,C15,A
POL002736,11.3,C13,B2
POL022558,0.5,C3,B2
POL037041,0.9,C15,B2
POL045146,6.1,C7,C2
POL032533,3.8,C7,C2
POL021562,11.3,C8,B2
POL045477,0.9,C8,B2
POL053390,4.4,C14,B2
POL009927,2.7,C7,C2
POL056865,12.4,C8,B2
POL001243,5.4,C10,B2
POL007299,5.4,C2,B1
POL042729,4.8,C13,C2
POL013607,0.9,C2,B2
POL037339,1.4,C8,C2
POL048093,0.9,C1,C2
POL028471,4,C2,B1
POL014219,0.9,C5,B2
POL049088,12.4,C8,C2
POL010006,2.7,C6,B2
POL057445,3.8,C6,A
POL002309,0.8,C14,A
POL022344,0.4,C8,B2
POL047874,1.3,C8,B2
POL025764,9.7,C8,B2
POL003367,4,C14,B2
POL033472,10.2,C22,B2
POL033505,8.2,C3,A
POL014883,4.8,C13,A
POL012450,3.7,C2,C1
POL025497,0.4,C3,A
POL039037,10.4,C17,A
POL058225,7.9,C8,C1
POL030826,10.9,C8,B2
POL035010,0.1,C6,A
POL010800,0.3,C2,A
POL011678,5.5,C14,B1
POL026118,3,C12,B2
POL049989,2.5,C8,B1
POL011141,2.1,C10,A
POL005874,1,C20,C2
POL035381,10.3,C19,C2
POL014491,11.2,C13,B2
POL027654,4,C8,B2
POL020244,2.5,C2,A
POL014601,9.8,C9,C1
POL051888,10.5,C3,B2
POL016613,3.8,C3,A
POL022632,0.7,C8,Utility
POL025605,10.7,C13,B2
POL018922,8.6,C5,A
POL054444,3.8,C11,A
POL033596,3,C2,A
POL057280,6,C5,B2
POL040547,10.2,C9,B2
POL037653,3.1,C8,B2
POL023953,1.3,C19,B2
POL020795,2.6,C17,A
POL026509,11.2,C2,A
POL020261,7.3,C8,C2
POL051339,6.4,C9,A
POL018578,9.6,C8,C2
POL050425,6.4,C8,C2
POL037856,8.1,C2,B2
POL006567,0.3,C8,A
POL045591,6.6,C6,B2
POL012804,11.7,C3,A
POL008652,4.8,C12,B2
POL039917,8.8,C10,C2
POL008010,8,C17,A
POL042760,11.8,C10,B2
POL020209,0.5,C12,A
POL050556,6.6,C9,A
POL024297,5.6,C11,A
POL028827,3.3,C16,C2
POL052731,3.1,C14,B2
POL005530,4,C3,A
POL014113,5.5,C5,A
POL042053,0.4,C14,B2
POL031954,5,C2,A
POL054380,0.5,C5,A
POL053731,9,C14,C2
POL000440,5.2,C8,C2
POL018710,12,C8,C2
POL039791,3.7,C3,C2
POL027526,1.6,C10,A
POL002840,12,C4,B2
POL027681,1.2,C10,A
POL058083,10.2,C3,A
POL001928,7.9,C11,C2
POL031140,11.9,C8,B1
POL038487,0.9,C5,B2
POL015189,9.2,C8,C1
POL035888,11.6,C8,B2
POL048778,0.2,C5,A
POL050850,10.3,C2,B2
POL001825,3.3,C10,B1
POL050431,8.8,C14,B2
POL048682,10.9,C8,C1
POL006276,10.4,C2,B2
POL005264,8,C16,Utility
POL026782,1.4,C10,A
POL049048,0.8,C9,A
POL041849,0.1,C13,A
POL028422,1.5,C10,A
POL010141,11.5,C10,C2
POL038422,0.2,C15,C2
POL033519,3,C5,A
POL054342,6,C5,B2
POL011880,11.7,C7,B2
POL039678,10.5,C2,A
POL021420,6.1,C2,A
POL027354,1.3,C14,B2
POL032252,5.5,C8,C2
POL012127,6.2,C5,B2
POL028328,8.6,C3,A
POL042027,2.7,C8,B2
POL047606,9.9,C3,C2
POL003247,0.9,C5,B2
POL012325,0.5,C5,B2
POL032296,4,C8,C2
POL004527,10.6,C3,C1
POL045301,3,C17,C1
POL029688,0.9,C13,B2
POL044350,5.6,C18,A
POL053261,10.8,C8,B2
POL005507,8.7,C5,A
POL051764,11,C8,B2
POL023607,8.6,C7,C2
POL045124,0.9,C9,A
POL049271,6.9,C2,A
POL055537,10.3,C5,B2
POL057398,0.3,C8,C2
POL048644,10.4,C7,B2
POL054862,1,C6,C1
POL024585,6.9,C3,A
POL004765,2.4,C5,B1
POL002811,5.7,C5,C2
POL001773,2.6,C9,A
POL038506,2.1,C5,A
POL002720,6.3,C3,A
POL050024,7.5,C16,A
POL015169,0.5,C10,A
POL032297,12,C9,A
POL033323,0.4,C5,A
POL011333,11.2,C2,B2
POL032877,5.8,C14,B2
POL021176,2.1,C16,B2
POL017887,12.1,C13,B2
POL038551,1.1,C10,A
POL041218,7.8,C8,B2
POL008361,2.3,C14,B2
POL018754,3.6,C3,A
POL031563,10.7,C9,C2
POL034630,11.7,C8,C2
POL014371,0.6,C1,A
